Arcade || 1941 - Counter Attack (World) (1941) || Other/Arcade/1941 - Counter Attack (World) (1941)/1941 - Counter Attack (World) (1941).json
Arcade || Roc'n Rope (World) (rocnrope) || Other/Arcade/Roc'n Rope (World) (rocnrope)/Roc'n Rope (World) (rocnrope).json
Arcade || Rolling Thunder (World) (rthunder) || Other/Arcade/Rolling Thunder (World) (rthunder)/Rolling Thunder (World) (rthunder).json
Arcade || Rolling Thunder 2 (World) (rthun2) || Other/Arcade/Rolling Thunder 2 (World) (rthun2)/Rolling Thunder 2 (World) (rthun2).json
Arcade || Root Beer Tapper (World) (rbtapper) || Other/Arcade/Root Beer Tapper (World) (rbtapper)/Root Beer Tapper (World) (rbtapper).json
Arcade || SAR - Search And Rescue (World) (searchar) || Other/Arcade/SAR - Search And Rescue (World) (searchar)/SAR - Search And Rescue (World) (searchar).json
Arcade || Salamander (World) (salamand) || Other/Arcade/Salamander (World) (salamand)/Salamander (World) (salamand).json
Arcade || Samurai Shodown ~ Samurai Spirits (World) (samsho) || Other/Arcade/Samurai Shodown ~ Samurai Spirits (World) (samsho)/Samurai Shodown ~ Samurai Spirits (World) (samsho).json
Arcade || Sasuke vs. Commander (World) (sasuke) || Other/Arcade/Sasuke vs. Commander (World) (sasuke)/Sasuke vs. Commander (World) (sasuke).json
Arcade || Satan's Hollow (World) (shollow) || Other/Arcade/Satan's Hollow (World) (shollow)/Satan's Hollow (World) (shollow).json
Arcade || Saturday Night Slam Masters (World) (slammast) || Other/Arcade/Saturday Night Slam Masters (World) (slammast)/Saturday Night Slam Masters (World) (slammast).json
Arcade || Scramble (World) (scramble) || Other/Arcade/Scramble (World) (scramble)/Scramble (World) (scramble).json
Arcade || Section Z (World) (sectionz) || Other/Arcade/Section Z (World) (sectionz)/Section Z (World) (sectionz).json
Arcade || Sengoku ~ Sengoku Denshou (World) (sengoku) || Other/Arcade/Sengoku ~ Sengoku Denshou (World) (sengoku)/Sengoku ~ Sengoku Denshou (World) (sengoku).json
Arcade || Shinobi (Japan) (shinobi) || Other/Arcade/Shinobi (Japan) (shinobi)/Shinobi (Japan) (shinobi).json
Arcade || Shock Troopers (World) (shocktro) || Other/Arcade/Shock Troopers (World) (shocktro)/Shock Troopers (World) (shocktro).json
Arcade || Side Arms - Hyper Dyne (World) (sidearms) || Other/Arcade/Side Arms - Hyper Dyne (World) (sidearms)/Side Arms - Hyper Dyne (World) (sidearms).json
Arcade || Sinistar (World) (sinistar) || Other/Arcade/Sinistar (World) (sinistar)/Sinistar (World) (sinistar).json
Arcade || Sky Diver (World) (skydiver) || Other/Arcade/Sky Diver (World) (skydiver)/Sky Diver (World) (skydiver).json
Arcade || Sky Kid (World) (skykid) || Other/Arcade/Sky Kid (World) (skykid)/Sky Kid (World) (skykid).json
Arcade || Smash T.V. (World) (smashtv) || Other/Arcade/Smash T.V. (World) (smashtv)/Smash T.V. (World) (smashtv).json
Arcade || Son Son (World) (sonson) || Other/Arcade/Son Son (World) (sonson)/Son Son (World) (sonson).json
Arcade || Sonic Championship (USA) (schamp) || Other/Arcade/Sonic Championship (USA) (schamp)/Sonic Championship (USA) (schamp).json
Arcade || Space Duel (World) (spacduel) || Other/Arcade/Space Duel (World) (spacduel)/Space Duel (World) (spacduel).json
Arcade || Space Harrier (World) (sharrier) || Other/Arcade/Space Harrier (World) (sharrier)/Space Harrier (World) (sharrier).json
Arcade || Speed Rumbler, The (World) (srumbler) || Other/Arcade/Speed Rumbler, The (World) (srumbler)/Speed Rumbler, The (World) (srumbler).json
Arcade || Splat! (World) (splat) || Other/Arcade/Splat! (World) (splat)/Splat! (World) (splat).json
Arcade || Splatter House (World) (splatter) || Other/Arcade/Splatter House (World) (splatter)/Splatter House (World) (splatter).json
Arcade || Sprint 1 (World) (sprint1) || Other/Arcade/Sprint 1 (World) (sprint1)/Sprint 1 (World) (sprint1).json
Arcade || Sprint 8 (World) (sprint8) || Other/Arcade/Sprint 8 (World) (sprint8)/Sprint 8 (World) (sprint8).json
Arcade || Spy Hunter (World) (spyhunt) || Other/Arcade/Spy Hunter (World) (spyhunt)/Spy Hunter (World) (spyhunt).json
Arcade || Spy Hunter II (World) (spyhunt2) || Other/Arcade/Spy Hunter II (World) (spyhunt2)/Spy Hunter II (World) (spyhunt2).json
Arcade || Stargate (World) (stargate) || Other/Arcade/Stargate (World) (stargate)/Stargate (World) (stargate).json
Arcade || Street Fighter (USA) (sf) || Other/Arcade/Street Fighter (USA) (sf)/Street Fighter (USA) (sf).json
Arcade || Street Fighter Alpha - Warriors' Dreams (Europe) (sfa) || Other/Arcade/Street Fighter Alpha - Warriors' Dreams (Europe) (sfa)/Street Fighter Alpha - Warriors' Dreams (Europe) (sfa).json
Arcade || Street Fighter Alpha 2 (Europe) (sfa2) || Other/Arcade/Street Fighter Alpha 2 (Europe) (sfa2)/Street Fighter Alpha 2 (Europe) (sfa2).json
Arcade || Street Fighter Alpha 3 (Europe) (sfa3) || Other/Arcade/Street Fighter Alpha 3 (Europe) (sfa3)/Street Fighter Alpha 3 (Europe) (sfa3).json
Arcade || Street Fighter II - The World Warrior (World) (sf2) || Other/Arcade/Street Fighter II - The World Warrior (World) (sf2)/Street Fighter II - The World Warrior (World) (sf2).json
Arcade || Street Fighter II' - Champion Edition (World) (sf2ce) || Other/Arcade/Street Fighter II' - Champion Edition (World) (sf2ce)/Street Fighter II' - Champion Edition (World) (sf2ce).json
Arcade || Street Fighter II' - Hyper Fighting (World) (sf2hf) || Other/Arcade/Street Fighter II' - Hyper Fighting (World) (sf2hf)/Street Fighter II' - Hyper Fighting (World) (sf2hf).json
